,Date,Contest_number,Word,Number_of_reported_results,Number_in_hard_mode,1_try,2_tries,3_tries,4_tries,5_tries,6_tries,7_or_more_tries(X),sum,ratie_hard_normal,average_of_tries,Count
0,2022-01-07,202,slump,80630,1362,1,3,23,39,24,9,1,100,0.01689197569142999,4.13,878659
1,2022-01-08,203,crank,101503,1763,1,5,23,31,24,14,2,100,0.017368944760253392,4.22,2185208
2,2022-01-09,204,gorge,91477,1913,1,3,13,27,30,22,4,100,0.020912360484056102,4.64,1950264
3,2022-01-10,205,query,107134,2242,1,4,16,30,30,17,2,100,0.02092706330389979,4.43,31284313
4,2022-01-11,206,drink,153880,3017,1,9,35,34,16,5,1,101,0.019606186638939434,3.732673267326733,29254937
5,2022-01-12,207,favor,137586,3073,1,4,15,26,29,21,4,100,0.022335121305946826,4.57,11867822
6,2022-01-13,208,abbey,132726,3345,1,2,13,29,31,20,3,99,0.025202296460377017,4.606060606060606,4224864
7,2022-01-14,209,tangy,169484,3985,1,4,21,30,24,15,5,100,0.02351254395695169,4.37,333638
8,2022-01-15,210,panic,205880,4655,1,9,35,34,16,5,1,101,0.022610258402953175,3.732673267326733,6396440
9,2022-01-16,211,solar,209609,4955,1,9,32,32,18,7,1,100,0.023639252131349323,3.82,20423792
10,2022-01-17,212,shire,222197,5640,1,8,32,32,18,8,2,101,0.025382880956988617,3.891089108910891,2665081
11,2022-01-18,213,proxy,220950,6206,1,2,11,24,31,26,6,101,0.028087802670287397,4.821782178217822,10773043
12,2022-01-19,214,point,280622,7094,1,16,37,28,12,4,1,99,0.02527955755429011,3.505050505050505,175527859
13,2022-01-20,215,robot,243964,6589,1,8,29,34,20,8,1,101,0.027008083159810462,3.910891089108911,12656312
14,2022-01-21,216,prick,273727,7409,1,8,30,33,19,7,1,99,0.027067114314627348,3.8686868686868685,891337
15,2022-01-22,217,wince,241489,6850,1,3,17,33,29,15,3,101,0.02836568125256223,4.415841584158416,717079
16,2022-01-23,218,crimp,269929,7630,1,5,28,38,20,7,1,100,0.02826669235243342,3.96,640746
17,2022-01-24,219,knoll,258038,8317,1,1,11,29,33,21,4,100,0.032231686805819296,4.71,965905
18,2022-01-25,220,sugar,276404,8708,1,6,25,34,23,9,1,99,0.03150460919523596,4.040404040404041,22450333
19,2022-01-26,221,whack,302348,10163,1,4,22,37,24,10,2,100,0.03361358434651461,4.17,725891
20,2022-01-27,222,mount,331844,11451,1,9,29,33,19,7,1,99,0.03450717807162402,3.8585858585858586,36648260
21,2022-01-28,223,perky,296968,11148,1,4,17,30,27,17,4,100,0.037539398184316154,4.45,1360009
22,2022-01-29,224,could,313220,11592,1,7,29,35,20,8,1,101,0.037009130962262944,3.9306930693069306,302311431
23,2022-01-30,225,wrung,294687,11524,0,2,18,39,27,12,2,100,0.03910589880110083,4.35,121159
24,2022-01-31,226,light,341314,13347,1,10,25,27,19,12,5,99,0.03910475398020591,4.101010101010101,126699632
25,2022-02-01,227,those,351663,13606,1,13,34,30,15,6,1,100,0.03869045080090883,3.67,270014141
26,2022-02-02,228,moist,361908,14205,3,13,32,29,16,7,1,101,0.03925030670778209,3.6633663366336635,2140516
27,2022-02-03,229,shard,358176,14609,1,7,22,28,25,14,4,101,0.04078721075672295,4.257425742574258,287428
28,2022-02-04,230,pleat,359679,14813,1,10,28,31,19,9,2,100,0.041183944572799634,3.92,266830
